
State,City,Suburb,DistanceToAvalon,DistanceToTullamarine,Attractions
Victoria,Geelong,Heidelberg Heights,100,115,"Heidelberg Heights Reserve, Darebin Creek"
Victoria,Geelong,Heidelberg West,105,120,"Heidelberg West Community Centre, Darebin Creek"
Victoria,Geelong,Heidelberg,140,160,"Heidelberg Park, local shops"
Victoria,Geelong,Heidelberg,95,110,"Heidelberg Park, Warringal Parklands"
Victoria,Geelong,Herne Hill,15,60,"Herne Hill Reserve, local parks"
Victoria,Geelong,Herne Hill,15,60,"Herne Hill Reserve, local parks, residential area"
Victoria,Geelong,Herne Hill,27,87,"Herne Hill Park, local walking trails, rural views"
Victoria,Geelong,Highett,190,220,"Highett Shopping Centre, local parks"
Victoria,Geelong,Highett,280,310,"Highett Shopping Centre, local parks"
Victoria,Geelong,Highett,85,90,"Highett Shopping Centre, local parks"
Victoria,Geelong,Highpoint,70,85,"Highpoint Shopping Centre, Maribyrnong River"
Victoria,Geelong,Highton,18,70,"Highton Reserve, Barrabool Hills, local shops, Geelong Golf Club"
Victoria,Geelong,Highton,18,70,"Highton Village, Barwon River, local parks, Highton Hill"
Victoria,Geelong,Highton,23,73,"Highton Reserve, Barwon River, local cafes, Geelong Golf Course"
Victoria,Geelong,Highton,27,87,"Queens Park, Barwon River trails, Highton Village"
Victoria,Geelong,Highton,28,88,"Highton Village, local parks, scenic views"
Victoria,Geelong,Highton,35,65,"Highton Village, Barwon River"
Victoria,Geelong,Hillside,50,70,"Sydenham Park, Watergardens"
Victoria,Geelong,Hopetoun Park,70,95,"Hopetoun Park Nature Reserve, Tarneit Gardens"
Victoria,Geelong,Hopetoun,65,80,"Hopetoun Winery, Mount Hope Bushland"
Victoria,Geelong,Hoppers Crossing,240,270,"Werribee Plaza, local parks"
Victoria,Geelong,Hoppers Crossing,35,50,"Hoppers Crossing Shopping Centre, local parks"
Victoria,Geelong,Hoppers Crossing,35,50,"Werribee Plaza, Hoppers Crossing Shopping Centre"
Victoria,Geelong,Hoppers Crossing,45,65,"Hoppers Crossing Railway Station, Werribee Plaza"
Victoria,Geelong,Hoppers Crossing,60,80,"Hoppers Crossing Railway Station, Werribee Plaza"
Victoria,Geelong,Howitt,350,420,"Howitt Park, local shops"
Victoria,Geelong,Hughesdale,200,230,"Hughesdale Village, local parks"
Victoria,Geelong,Hughesdale,75,85,"Hughesdale Community Centre, Chadstone"
Victoria,Geelong,Hurstbridge,100,120,"Hurstbridge Golf Club, Diamond Creek Trail"
Victoria,Geelong,Indented Head,40,115,"Indented Head Beach, local coastal walks"
Victoria,Geelong,Indented Head,42,102,"Indented Head Beach, local parks, coastal walks"
Victoria,Geelong,Indented Head,45,110,"Indented Head Beach, local parks, Bellarine Peninsula wineries"
Victoria,Geelong,Indented Head,50,110,"Indented Head Beach, local parks, coastal walks"
Victoria,Geelong,Indented Head,55,120,"Indented Head Beach, local parks"
Victoria,Geelong,Indented Head,60,120,"Indented Head Beach, local parks, coastal views"
Victoria,Geelong,Inglewood,100,120,"Inglewood Park"
Victoria,Geelong,Inverloch,250,290,"Inverloch Beach, local parks"
Victoria,Geelong,Invermay Park,95,115,"Invermay Park Lake, Ballarat Wildlife Park"
Victoria,Geelong,Jan Juc,20,55,"Jan Juc Beach, Surf Coast Walk"
Victoria,Geelong,Jan Juc,70,130,"Jan Juc Beach, local parks, Bells Beach"
Victoria,Geelong,Jan Juc,70,130,"Jan Juc Beach, local parks, surf spots"
Victoria,Geelong,Jell’s Park,90,110,"Jell’s Park"
Victoria,Geelong,Keilor Downs,50,60,"Keilor Downs Shopping Centre, Keilor Plains"
Victoria,Geelong,Keilor North,55,65,"Keilor North Reserve, Moonee Ponds Creek"
Victoria,Geelong,Keilor South,45,55,"Keilor South Park, Niddrie"
Victoria,Geelong,Keilor,45,55,"Keilor Park, Keilor Road"
Victoria,Geelong,Keilor,70,75,"Keilor Village, local parks"
Victoria,Geelong,Kensington,75,80,"Kensington Village, local parks"
Victoria,Geelong,Kew East,260,290,"Kew East Village, local parks"
Victoria,Geelong,Kew East,90,105,"East Kew, Kew Recreation Centre"
Victoria,Geelong,Kew,260,290,"Kew Gardens, local shops"
Victoria,Geelong,Kew,85,100,"Kew Gardens, Kew Cemetery"
Victoria,Geelong,Keysborough,115,130,"Keysborough Golf Club, local parks"
Victoria,Geelong,Keysborough,180,220,"Keysborough Golf Club, local parks"
Victoria,Geelong,Keysborough,210,240,"Keysborough South Golf Club, local parks"
Victoria,Geelong,Keysborough,280,310,"Keysborough Golf Club, local parks"
Victoria,Geelong,Kinglake West,110,125,"Kinglake West Road, Kinglake Ranges"
Victoria,Geelong,Kinglake,105,120,"Kinglake National Park, Kinglake Forest"
Victoria,Geelong,Kinglake,160,190,"Kinglake National Park, local parks"
Victoria,Geelong,Kingsbury,95,110,"Kingsbury Reserve, Latrobe Golf Club"
Victoria,Geelong,Kingston,80,95,"Kingston Heath Golf Club, Southland Shopping Centre"
Victoria,Geelong,Koo Wee Rup,280,330,"Koo Wee Rup Regional Park, local shops"
Victoria,Geelong,Kooweerup,280,330,"Kooweerup Regional Park, local shops"
Victoria,Geelong,Kooyong,120,140,"Kooyong Tennis Club, local parks"
Victoria,Geelong,Kyabram,200,220,"Kyabram Fauna Park, Kyabram Cemetery"
Victoria,Geelong,Lake Tyers Beach,290,340,"Lake Tyers Beach, local parks"
Victoria,Geelong,Lakes Entrance,290,350,"Lakes Entrance Beach, local parks"
Victoria,Geelong,Lalor,30,45,"Lalor Plaza, Epping North"
Victoria,Geelong,Lalor,35,50,"Lalor Plaza, Epping North"
Victoria,Geelong,Lalor,90,120,"Lalor Shopping Centre, local parks"
Victoria,Geelong,Langwarrin South,280,330,"Langwarrin South Reserve, local parks"
Victoria,Geelong,Langwarrin,180,210,"Langwarrin Flora and Fauna Reserve, local parks"
Victoria,Geelong,Lara East,20,55,"Lara Lake, local parks, Serendip Sanctuary"
Victoria,Geelong,Lara West,21,52,"Lara Heritage Park, local shops, residential area"
Victoria,Geelong,Lara,20,50,"Lara Lake, Serendip Sanctuary"
Victoria,Geelong,Lara,20,50,"Lara Lake, Serendip Sanctuary, Little River Railway Station"
Victoria,Geelong,Lara,25,45,"Lara Lake, Serendip Sanctuary"
Victoria,Geelong,Laverton,40,55,"Laverton Railway Station, Point Cook Coastal Park"
Victoria,Geelong,Leopold,25,80,"Leopold Nature Reserve, Bellarine Rail Trail, local shops"
Victoria,Geelong,Leopold,25,80,"Leopold Nature Reserve, local shops, Bellarine Rail Trail"
Victoria,Geelong,Leopold,30,90,"Gateway Sanctuary, Bellarine Rail Trail, Lake Connewarre"
Victoria,Geelong,Leopold,31,91,"Lake Connewarre, Bellarine Rail Trail, local wineries"
Victoria,Geelong,Leopold,35,95,"Leopold Park, Bellarine Railway, local wineries"
Victoria,Geelong,Leopold,46,106,"Leopold Reserve, local parks, beaches"
Victoria,Geelong,Lethbridge,35,105,"Lethbridge Park, rural views, local farms"
Victoria,Geelong,Lethbridge,36,96,"Lethbridge Park, local wineries, country views"
Victoria,Geelong,Lethbridge,50,85,"Lethbridge Community Park"
Victoria,Geelong,Lindsey,340,400,"Lindsey Creek, local parks"
Victoria,Geelong,Little River,15,40,"Little River Railway Station, You Yangs"
Victoria,Geelong,Little River,15,55,"Little River Railway Station, local parks, You Yangs Regional Park"
Victoria,Geelong,Little River,15,55,"Little River Railway Station, local parks, rural views"
Victoria,Geelong,Little River,15,60,"Little River Railway Station, local farms, nature reserves"
Victoria,Geelong,Little River,25,50,"Little River Railway Station, local parks"
Victoria,Geelong,Lorne,100,150,"Lorne Beach, Great Otway National Park"
Victoria,Geelong,Lorne,105,160,"Lorne Beach, Great Ocean Road, local shops, and parks"
Victoria,Geelong,Lorne,80,130,"Lorne Beach, Great Ocean Road, Erskine Falls"
Victoria,Geelong,Lorne,95,160,"Lorne Beach, Great Otway National Park, local cafes"
Victoria,Geelong,Lorne,95,165,"Lorne Beach, Great Ocean Road, Lorne Pier"
Victoria,Geelong,Lovely Banks,23,83,"Lovely Banks Wetlands, rural views"
Victoria,Geelong,Lower Plenty,140,170,"Lower Plenty Park, local shops"
Victoria,Geelong,Lower Plenty,80,100,"Lower Plenty Park, local shops"
Victoria,Geelong,Lysterfield,180,210,"Lysterfield Lake, local parks"
Victoria,Geelong,Macedon,85,110,"Mount Macedon, Macedon Ranges"
Victoria,Geelong,Macleod,240,270,"Macleod Village, local parks"
Victoria,Geelong,Macleod,80,100,"Macleod Village, local parks"
Victoria,Geelong,Macleod,90,105,"Macleod Village, Plenty River Trail"
Victoria,Geelong,Malmsbury,95,120,"Malmsbury Botanical Gardens"
Victoria,Geelong,Malvern East,120,135,"Malvern Valley Golf Course, local parks"
Victoria,Geelong,Malvern East,270,300,"Malvern East Shopping Centre, local parks"
Victoria,Geelong,Malvern,130,150,"Malvern Central, local parks"
Victoria,Geelong,Malvern,270,300,"Malvern Gardens, local parks"
Victoria,Geelong,Malvern,75,85,"Malvern Valley Golf Course, Malvern Gardens"
Victoria,Geelong,Manifold Heights,18,72,"Manifold Heights Park, local cafes, residential areas"
Victoria,Geelong,Manifold Heights,18,72,"Manifold Heights Park, residential area, local cafes"
Victoria,Geelong,Manifold Heights,22,72,"Manifold Heights Park, residential areas, local cafes"
Victoria,Geelong,Manifold Heights,26,76,"Manifold Heights Park, local shops, residential areas"
Victoria,Geelong,Manifold Heights,26,86,"Geelong Golf Club, local parks, residential areas"
Victoria,Geelong,Manifold Heights,26,86,"Manifold Heights Park, residential area"
Victoria,Geelong,Manifold Heights,26,86,"Manifold Heights Park, residential area, local shops"
Victoria,Geelong,Mannerim,50,110,"Mannerim Beach, Bellarine Peninsula views, rural area"
Victoria,Geelong,Manor Lakes,55,75,"Manor Lakes Shopping Centre"
Victoria,Geelong,Manor Lakes,55,75,"Manor Lakes Shopping Centre, Wyndham Vale"
Victoria,Geelong,Mansfield,150,170,"Mansfield Zoo, Lake Eildon"
Victoria,Geelong,Maribyrnong,55,70,"Maribyrnong River, Highpoint Shopping Centre"
Victoria,Geelong,Marlo,310,370,"Marlo Beach, local parks"
Victoria,Geelong,Marshall,20,65,"Marshall Railway Station, local parks, residential area"
Victoria,Geelong,Marshall,35,85,"Marshall Railway Station, local parks, residential areas"
Victoria,Geelong,Mckinnon,70,85,"Mckinnon Reserve, Mckinnon Railway Station"
Victoria,Geelong,Melbourne Road,30,80,"Local parks, residential areas, scenic drive"
Victoria,Geelong,Melbourne,85,100,"Melbourne Zoo, Melbourne Museum"
Victoria,Geelong,Melton South,50,75,"Melton South Shopping Centre"
Victoria,Geelong,Melton South,55,75,"Melton Botanic Gardens, Melton Reservoir"
Victoria,Geelong,Melton South,60,75,"Melton South Shopping Centre"
Victoria,Geelong,Melton,45,65,"Melton Botanical Gardens, Melton Reservoir"
Victoria,Geelong,Melton,55,70,"Melton Botanic Gardens, Melton Reservoir"
Victoria,Geelong,Melton,65,105,"Melton Park, local shopping centers, parks"
Victoria,Geelong,Melton,70,80,"Melton Botanic Gardens, local parks"
Victoria,Geelong,Melton,80,100,"Melton Botanic Gardens, local parks"
Victoria,Geelong,Merri Creek,160,190,"Merri Creek Trail, local parks"
Victoria,Geelong,Metung,290,350,"Metung Village, local parks"
Victoria,Geelong,Mickelham,45,55,"Mickelham Railway Station, Craigieburn"
Victoria,Geelong,Middle Park,270,300,"Middle Park Beach, local parks"
Victoria,Geelong,Modewarre,25,85,"Modewarre Community Park, local shops, country views"
Victoria,Geelong,Modewarre,38,98,"Modewarre General Store, scenic rural views, farms"
Victoria,Geelong,Mont Albert,260,290,"Mont Albert Reserve, local shops"
Victoria,Geelong,Montmorency,140,170,"Montmorency Village, local parks"
Victoria,Geelong,Montmorency,240,270,"Montmorency Park, local shops"
Victoria,Geelong,Montmorency,80,110,"Montmorency Village, local parks"
Victoria,Geelong,Monument Hill,34,94,"Monument Hill Lookout, scenic views, walking trails"
Victoria,Geelong,Moolap,24,84,"Moolap Saltworks, Eastern Park, Geelong Botanic Gardens"
Victoria,Geelong,Moonee Ponds,75,80,"Moonee Ponds Central, local parks"
Victoria,Geelong,Moonee Ponds,75,85,"Moonee Ponds Creek Trail, Queens Park"
Victoria,Geelong,Moorabbin,80,90,"Moorabbin Airport, local parks"
Victoria,Geelong,Moorabool,28,88,"Moorabool River, local walking tracks"
Victoria,Geelong,Moorabool,40,100,"Moorabool River, local wineries, rural views"
Victoria,Geelong,Mooroolbark,95,105,"Mooroolbark Park, Mooroolbark Railway Station"
Victoria,Geelong,Mordialloc,190,220,"Mordialloc Beach, local parks"
Victoria,Geelong,Mordialloc,240,270,"Mordialloc Beach, local parks"
Victoria,Geelong,Moreland,85,95,"Moreland Station,
Victoria,Geelong,Mount Beauty,370,440,"Mount Beauty Village, local parks"
Victoria,Geelong,Mount Duneed,18,75,"Mt Duneed Estate Winery, local parks, residential area"
Victoria,Geelong,Mount Duneed,23,73,"Mount Duneed Estate, local wineries, rural countryside"
Victoria,Geelong,Mount Duneed,28,78,"Mount Duneed Estate, local parks, wineries"
Victoria,Geelong,Mount Duneed,35,70,"Mount Duneed Winery, Barwon Heads"
Victoria,Geelong,Mount Eliza,100,115,"Mount Eliza Regional Park, local parks"
Victoria,Geelong,Mount Eliza,100,120,"Mount Eliza Regional Park, Canadian Bay"
Victoria,Geelong,Mount Eliza,220,250,"Mount Eliza Regional Park, local parks"
Victoria,Geelong,Mount Eliza,280,310,"Mount Eliza Regional Park, local parks"
Victoria,Geelong,Mount Macedon,130,145,"Mount Macedon Memorial Cross, Macedon Ranges"
Victoria,Geelong,Mount Martha,240,270,"Mount Martha Beach, local parks"
Victoria,Geelong,Mount Moriac,45,80,"Mount Moriac Conservation Reserve"
Victoria,Geelong,Murgheboluc,40,100,"Murgheboluc Dam, rural views, local parks"
Victoria,Geelong,Murrumbeena,200,230,"Murrumbeena Village, local parks"
Victoria,Geelong,Myrtleford,360,430,"Myrtleford Wetlands, local parks"
Victoria,Geelong,Narre Warren,110,130,"Westfield Fountain Gate, local parks"
Victoria,Geelong,Narre Warren,180,210,"Fountain Gate, local parks"
Victoria,Geelong,Narre Warren,65,75,"Fountain Gate Shopping Centre, Wilson Botanic Park"
Victoria,Geelong,Newcomb,10,30,"Newcomb Park, Bellarine Railway"
Victoria,Geelong,Newcomb,18,65,"Newcomb Central, local shops, local cafes"
Victoria,Geelong,Newcomb,24,84,"Newcomb Shopping Centre, local parks"
Victoria,Geelong,Newcomb,26,86,"Newcomb Shopping Centre, local schools"
Victoria,Geelong,Newcomb,32,82,"Newcomb Park, local shops, residential areas"
Victoria,Geelong,Newcomb,8,60,"Newcomb Central Shopping Centre, local parks"
Victoria,Geelong,Newhaven,270,320,"Newhaven Beach, local parks"
Victoria,Geelong,Newport,220,250,"Newport Lakes, local parks"
Victoria,Geelong,Newport,60,70,"Newport Lakes Reserve, Newport Railway Station"
Victoria,Geelong,Newstead,90,120,"Newstead Park"
Victoria,Geelong,Newtown,25,75,"Newtown Park, local cafes, local boutiques"
Victoria,Geelong,Newtown,26,76,"Newtown Park, local shops, scenic residential areas"
Victoria,Geelong,Newtown,26,86,"Barwon Grange, Pakington Street, heritage architecture"
Victoria,Geelong,Newtown,30,80,"Newtown Park, historic homes, local cafes"
Victoria,Geelong,Newtown,8,65,"Pakington Street, local parks, Geelong Gallery"
Victoria,Geelong,Nicholson,330,390,"Nicholson River, local parks"
Victoria,Geelong,Niddrie,75,80,"Niddrie Shopping Centre, local parks"
Victoria,Geelong,Norlane,10,30,"Corio Bay, Norlane Community Centre"
Victoria,Geelong,Norlane,19,79,"Waterworld Aquatic Centre, Norlane Community Centre, local markets"
Victoria,Geelong,Norlane,23,83,"Norlane Park, residential areas, local schools"
Victoria,Geelong,North Geelong,10,35,"North Geelong Station, Geelong Waterfront"
Victoria,Geelong,North Geelong,17,65,"North Geelong Station, local parks, local schools"
Victoria,Geelong,North Geelong,23,83,"North Geelong Railway Station, local parks"
Victoria,Geelong,North Geelong,25,75,"North Geelong Station, waterfront parks, industrial area"
Victoria,Geelong,North Geelong,25,75,"Northern Geelong Shopping Centre, local parks, Waterfront"
Victoria,Geelong,North Geelong,25,85,"North Geelong Railway Station, local parks"
Victoria,Geelong,North Geelong,6,60,"North Geelong Railway Station, local parks"
Victoria,Geelong,North Melbourne,70,75,"Queen Victoria Market, local parks"
Victoria,Geelong,North Melbourne,75,80,"Melbourne Museum, local parks"
Victoria,Geelong,North Melbourne,80,90,"Queen Victoria Market, Royal Park"
Victoria,Geelong,North Melbourne,90,100,"Royal Melbourne Hospital, Queen Victoria Market"
Victoria,Geelong,North Shore,15,55,"North Shore Railway Station, local parks, residential areas"
Victoria,Geelong,North Shore,21,78,"North Shore Beach, Corio Bay, local parks"
Victoria,Geelong,North Shore,25,60,"North Shore Beach, local parks, residential area"
Victoria,Geelong,North Warrandyte,105,120,"Yarra River Walk, Warrandyte State Park"
Victoria,Geelong,North Warrandyte,110,125,"Yarra River Walk, Warrandyte State Park"
Victoria,Geelong,Northcote,130,160,"Northcote Golf Club, local parks"
Victoria,Geelong,Northcote,230,260,"Northcote Aquatic Centre, local parks"
Victoria,Geelong,Northcote,95,105,"Northcote Town Hall, All Nations Park"
Victoria,Geelong,Norwood,80,100,"Norwood Estate, Yarra River"
Victoria,Geelong,Notting Hill,80,90,"Monash University, Huntingdale Golf Club"
Victoria,Geelong,Oak Park,60,75,"Oak Park Reserve, Moonee Ponds Creek Trail"
Victoria,Geelong,Oak Park,75,80,"Oak Park Reserve, local parks"
Victoria,Geelong,Oakleigh South,200,230,"Oakleigh South Golf Club, local parks"
Victoria,Geelong,Oakleigh South,280,310,"Oakleigh South Golf Club, local parks"
Victoria,Geelong,Oakleigh,200,230,"Oakleigh Shopping Centre, local parks"
Victoria,Geelong,Oakleigh,75,85,"Oakleigh Shopping Centre, Oakleigh Recreation Centre"
Victoria,Geelong,Ocean Grove East,58,120,"Ocean Grove Beach, local shops, coastal views"
Victoria,Geelong,Ocean Grove,30,55,"Ocean Grove Beach, Bellarine Rail Trail"
Victoria,Geelong,Ocean Grove,35,90,"Ocean Grove Beach, local shops, Bellarine Peninsula"
Victoria,Geelong,Ocean Grove,35,95,"Ocean Grove Beach, Barwon Heads Bluff, local surf spots"
Victoria,Geelong,Ocean Grove,35,95,"Ocean Grove Beach, local shops, Bellarine Peninsula"
Victoria,Geelong,Ocean Grove,36,96,"Ocean Grove Beach, Barwon Heads Bluff, local surf spots"
Victoria,Geelong,Ocean Grove,42,102,"Ocean Grove Beach, local parks, Bellarine Peninsula"
Victoria,Geelong,Ocean Grove,55,115,"Ocean Grove Beach, local cafes, coastal parks, wineries"
Victoria,Geelong,Ocean Grove,55,115,"Ocean Grove Beach, local parks, coastal walk"
Victoria,Geelong,Ocean Grove,55,115,"Ocean Grove Beach, local shops, coastal parks, wineries"
Victoria,Geelong,Ocean Grove,58,118,"Ocean Grove Beach, local parks, coastal walk"
Victoria,Geelong,Officer,70,85,"Officer Railway Station, Cardinia Reservoir"
Victoria,Geelong,Orbost,310,370,"Orbost Heritage Park, local parks"
Victoria,Geelong,Ormond,120,140,"Ormond Village, local parks"
Victoria,Geelong,Ormond,75,85,"Ormond Village, Bailey Reserve"
Victoria,Geelong,O’Halloran Hill,110,130,"O’Halloran Hill Conservation Park"
Victoria,Geelong,Pakenham,90,110,"Cardinia Reservoir, Pakenham Racecourse"
Victoria,Geelong,Paradise Beach,270,330,"Paradise Beach, local parks"
Victoria,Geelong,Parkdale,190,220,"Parkdale Beach, local parks"
Victoria,Geelong,Parkdale,270,300,"Parkdale Beach, local parks"
Victoria,Geelong,Parkdale,70,90,"Parkdale Beach, Parkdale Shopping Centre"
Victoria,Geelong,Parkdale,85,95,"Parkdale Beach, local parks"
Victoria,Geelong,Parkville,75,85,"Melbourne Zoo, Royal Park"
Victoria,Geelong,Pascoe Vale South,75,90,"Bulla Road Shopping Centre, Penola Catholic College"
Victoria,Geelong,Pascoe Vale,70,85,"Pascoe Vale Reserve, Moonee Ponds Creek"
Victoria,Geelong,Paynesville,290,350,"Paynesville Foreshore, local parks"
Victoria,Geelong,Perisher,390,460,"Perisher Ski Resort, local parks"
Victoria,Geelong,Phillip Island,260,300,"Phillip Island Wildlife Park, Penguin Parade"
Victoria,Geelong,Plenty,80,110,"Plenty Gorge Park, local farms"
Victoria,Geelong,Point Cook,250,280,"Point Cook Coastal Park, Sanctuary Lakes"
Victoria,Geelong,Point Cook,35,50,"Point Cook Coastal Park, Sanctuary Lakes Shopping Centre"
Victoria,Geelong,Point Cook,35,60,"Point Cook Coastal Park, Sanctuary Lakes"
Victoria,Geelong,Point Cook,35,95,"Point Cook Coastal Park, local beaches, wetlands"
Victoria,Geelong,Point Cook,45,55,"Point Cook Coastal Park, local parks"
Victoria,Geelong,Point Cook,45,60,"Point Cook Coastal Park, local parks"
Victoria,Geelong,Point Cook,55,100,"Point Cook Coastal Park, local shops, attractions"
Victoria,Geelong,Point Cook,55,110,"Point Cook Coastal Park, local shops, Point Cook Town Centre"
Victoria,Geelong,Point Henry,20,80,"Point Henry Pier, industrial area, local parks"
Victoria,Geelong,Point Lonsdale,45,105,"Point Lonsdale Lighthouse, Queenscliff-Point Lonsdale Pier"
Victoria,Geelong,Point Lonsdale,47,107,"Point Lonsdale Lighthouse, local beaches, coastal views"
Victoria,Geelong,Point Lonsdale,50,120,"Point Lonsdale Beach, local cafes, coastal views"
Victoria,Geelong,Point Lonsdale,50,120,"Point Lonsdale Beach, local parks, local galleries"
Victoria,Geelong,Point Lonsdale,55,80,"Point Lonsdale Beach, Queenscliff Marine & Freshwater Centre"
Victoria,Geelong,Point Lonsdale,65,125,"Point Lonsdale Beach, local shops, scenic coastal views"
Victoria,Geelong,Port Melbourne,130,155,"Port Melbourne Beach, local parks"
Victoria,Geelong,Port Melbourne,220,250,"Port Melbourne Beach, Bay Street"
Victoria,Geelong,Port Melbourne,270,300,"Port Melbourne Beach, local shops"
Victoria,Geelong,Port Melbourne,70,75,"Port Melbourne Beach, local parks"
Victoria,Geelong,Port Melbourne,80,95,"Port Melbourne Beach, Station Pier"
Victoria,Geelong,Port Melbourne,85,100,"Port Melbourne Beach, South Wharf Promenade"
Victoria,Geelong,Port Melbourne,90,100,"Port Melbourne Beach, South Wharf Promenade"
Victoria,Geelong,Portarlington,30,55,"Portarlington Pier, Portarlington Golf Club"
Victoria,Geelong,Portarlington,38,98,"Portarlington Pier, local mussel farms, wineries"
Victoria,Geelong,Portarlington,45,100,"Portarlington Pier, local parks, Bellarine Peninsula wineries"
Victoria,Geelong,Portarlington,45,115,"Portarlington Pier, local wineries, local parks"
Victoria,Geelong,Portarlington,50,110,"Portarlington Pier, local wineries, coastal views"
Victoria,Geelong,Portarlington,53,113,"Portarlington Pier, local wineries, Bellarine Peninsula"
Victoria,Geelong,Portarlington,53,113,"Portarlington Pier, local wineries, coastal walks"
Victoria,Geelong,Portarlington,60,130,"Portarlington Pier, local cafes, Bellarine Peninsula"
Victoria,Geelong,Portarlington,60,90,"Portarlington Pier, Adventure Park"
Victoria,Geelong,Prahran,130,150,"Prahran Market, local parks"
Victoria,Geelong,Preston,230,260,"Preston Market, local parks"
Victoria,Geelong,Preston,80,85,"Preston Market, local parks"
Victoria,Geelong,Preston,80,90,"Preston Market, local parks"
Victoria,Geelong,Preston,85,100,"Preston Market, Preston South"
Victoria,Geelong,Queenscliff South,60,125,"Queenscliff Lighthouse, local beaches, Fort Queenscliff"
Victoria,Geelong,Queenscliff,45,105,"Queenscliff Harbour, Queenscliff Historical Museum, local beaches"
Victoria,Geelong,Queenscliff,48,108,"Queenscliff Pier, Fort Queenscliff, local seafood restaurants"
Victoria,Geelong,Queenscliff,49,109,"Queenscliff Pier, Fort Queenscliff, local seafood restaurants"
Victoria,Geelong,Queenscliff,50,120,"Queenscliff Harbour, Queenscliff Pier, local beaches"
Victoria,Geelong,Queenscliff,55,125,"Queenscliff Harbour, local beaches, local wineries, Fort Queenscliff"
Victoria,Geelong,Queenscliff,60,125,"Queenscliff Lighthouse, local beaches, Fort Queenscliff"
Victoria,Geelong,Queenscliff,70,130,"Queenscliff Pier, local museums, coastal walks"
Victoria,Geelong,Red Hill,250,280,"Red Hill Estate, local parks"
Victoria,Geelong,Research,240,270,"Research Park, local trails"
Victoria,Geelong,Reservoir,230,260,"Reservoir Lakes, local parks"
Victoria,Geelong,Reservoir,75,85,"Reservoir Leisure Centre, Edwardes Lake Park"
Victoria,Geelong,Reservoir,80,85,"Reservoir Village, local parks"
Victoria,Geelong,Richmond,230,260,"Melbourne Cricket Ground, Richmond Gardens"
Victoria,Geelong,Richmond,75,80,"Richmond Park, MCG, Melbourne Cricket Ground"
Victoria,Geelong,Richmond,90,100,"Melbourne Cricket Ground, Fitzroy Gardens"
Victoria,Geelong,Riddells Creek,85,110,"Riddells Creek Reserve, Mount Macedon"
Victoria,Geelong,Ringwood North,100,115,"Ringwood North Park, Olinda Creek"
Victoria,Geelong,Ringwood,90,105,"Ringwood Lake, Eastland Shopping Centre"
Victoria,Geelong,Ringwood,95,110,"Eastland Shopping Centre, Ringwood Lake"
Victoria,Geelong,Rippleside,21,81,"Rippleside Park, local beaches, walking trails"
Victoria,Geelong,Rippleside,22,72,"Rippleside Park, waterfront views, residential areas"
Victoria,Geelong,Rippleside,8,60,"Rippleside Park, Geelong Port"
Victoria,Geelong,Ripplewood,25,85,"Ripplewood Reserve, local nature walks, quiet rural area"
Victoria,Geelong,Rockbank,60,70,"Rockbank Park, local shops"
Victoria,Geelong,Rockbank,75,115,"Rockbank Nature Reserve, local parks, residential areas"
Victoria,Geelong,Rockbank,85,100,"Rockbank Park, local shops"
Victoria,Geelong,Rosebud,100,120,"Rosebud Beach, Arthurs Seat"
Victoria,Geelong,Rowville,85,95,"Parkmore Shopping Centre, Koolunga Reserve"
Victoria,Geelong,Roxburgh Park,60,75,"Roxburgh Park Shopping Centre, Roxburgh Park Railway Station"
Victoria,Geelong,San Remo,260,300,"San Remo Beach, local parks"
Victoria,Geelong,Sandhurst,60,75,"Sandhurst Golf Club, Peninsula Link Reserve"
Victoria,Geelong,Sankt Leonards,50,110,"St Leonards Beach, local wineries, Bellarine Peninsula"
Victoria,Geelong,Seaford,100,115,"Seaford Beach, local parks"
Victoria,Geelong,Seaford,190,220,"Seaford Beach, local parks"
Victoria,Geelong,Seaford,220,250,"Seaford Park, local shops"
Victoria,Geelong,Seaford,220,250,"Seaford Pier, local parks"
Victoria,Geelong,Seaford,280,310,"Seaford Pier, local parks"
Victoria,Geelong,Seddon,220,250,"Seddon Village, local parks"
Victoria,Geelong,Seddon,75,75,"Seddon Village, local cafes"
Victoria,Geelong,Shelford,39,99,"Shelford Reserve, rural views, local community events"
Victoria,Geelong,Skye,105,120,"Skye Regional Park, local shops"
Victoria,Geelong,Skye,190,220,"Skye Regional Park, local shops"
Victoria,Geelong,Skye,220,250,"Skye Regional Park, local shops"
Victoria,Geelong,Somers,280,330,"Somers Beach, local parks"
Victoria,Geelong,Somerville,240,270,"Somerville Plaza, local parks"
Victoria,Geelong,Sorrento,75,145,"Sorrento Beach, local cafes, Sorrento Pier, coastal views"
Victoria,Geelong,South Barwon,10,55,"South Barwon Reserve, Barwon River"
Victoria,Geelong,South Barwon,18,75,"South Barwon Reserve, local schools, community parks"
Victoria,Geelong,South Geelong,18,65,"South Geelong Station, local parks, Geelong Gallery"
Victoria,Geelong,South Geelong,22,82,"South Geelong Railway Station, Geelong Football Club"
Victoria,Geelong,South Geelong,26,74,"South Geelong Station, local cafes, Geelong Railway Station"
Victoria,Geelong,South Geelong,27,77,"South Geelong Railway Station, local parks, cafes"
Victoria,Geelong,South Geelong,33,83,"South Geelong Railway Station, local parks"
